STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150001,2,1,HONOLULU,KAILUA,January,2,2,Monday,2023,5,Urban,21.38233611,-157.7404972,Pedestrian,Dark - Lighted,Clear,Nissan/Datsun Frontier ,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150002,1,1,HAWAII,PAHOA,January,14,14,Saturday,2023,5,Urban,19.51332778,-154.9629194,Pedestrian,Dark - Not Lighted,Clear,Acura ILX,Tree (Standing Only),Motor Scooter
Hawaii,150003,2,1,HAWAII,KURTISTOWN,January,13,13,Friday,2023,22,Urban,19.52950556,-155.0167722,Rollover/Overturn,Dark - Not Lighted,Clear,Other Make 350cc or greater (ATV),Pedestrian,Light Pickup
Hawaii,150004,1,2,HONOLULU,HONOLULU,January,28,28,Saturday,2023,2,Urban,21.30905,-157.8495639,Motor Vehicle In-Transport,Dark - Lighted,Clear,Acura MDX,Pedestrian,Light Pickup
Hawaii,150005,1,1,HONOLULU,KANE`OHE,January,29,29,Sunday,2023,18,Urban,21.39275,-157.8133111,Embankment,Dark - Lighted,Rain,Toyota 4-Runner,Rollover/Overturn,Light Pickup
Hawaii,150006,1,1,HONOLULU,KAILUA,January,31,31,Tuesday,2023,17,Urban,21.40672778,-157.7582139,Pedalcyclist,Daylight,Cloudy,Ford Mustang/Mustang II,Pedestrian,"4-door sedan, hardtop"
Hawaii,150007,1,3,HONOLULU,HONOLULU,January,15,15,Sunday,2023,9,Urban,21.28853889,-157.8344194,Motor Vehicle In-Transport,Daylight,Clear,Chevrolet Medium/Heavy - CBE,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150008,3,2,MAUI,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),February,10,10,Friday,2023,22,Urban,20.90628056,-156.4870667,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,Hyundai Tiburon,Motor Vehicle In-Transport,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)"
Hawaii,150009,1,2,HONOLULU,HONOLULU,February,14,14,Tuesday,2023,5,Urban,21.36627222,-157.8437194,Pedestrian,Dark - Lighted,Rain,Subaru Forester,Pedalcyclist,Light Pickup
Hawaii,150010,4,1,HAWAII,WAIKOLOA VILLAGE,February,5,5,Sunday,2023,3,Urban,19.92186944,-155.8604806,Utility Pole/Light Support,Other,Clear,"Honda Civic/CRX, del Sol",Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150011,2,1,HONOLULU,HONOLULU,February,15,15,Wednesday,2023,6,Urban,21.29645556,-157.849925,Pedestrian,Dark - Lighted,Clear,"Honda Civic/CRX, del Sol",Motor Vehicle In-Transport,Light Pickup
Hawaii,150012,1,2,HONOLULU,HONOLULU,February,14,14,Tuesday,2023,16,Urban,21.34706667,-157.8610611,Motor Vehicle In-Transport,Daylight,Cloudy,Other Make 0-50cc,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150013,2,1,HONOLULU,KAHALU`U,February,17,17,Friday,2023,20,Urban,21.52628056,-157.8347972,Wall,Dark - Lighted,Rain,Jeep / Kaiser-Jeep / Willys- Jeep Compass,Pedalcyclist,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)"
Hawaii,150014,2,2,HONOLULU,WAIPAHU,February,18,18,Saturday,2023,21,Urban,21.38675833,-157.9980361,Motor Vehicle In-Transport,Dark - Lighted,Clear,Honda CR-V,Embankment,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150016,1,1,HONOLULU,PEARL CITY,February,25,25,Saturday,2023,22,Urban,21.34966667,-157.9266889,Curb,Dark - Lighted,Clear,Jeep / Kaiser-Jeep / Willys- Jeep Cherokee ,Rollover/Overturn,Light Pickup
Hawaii,150017,2,1,HONOLULU,Other,March,5,5,Sunday,2023,23,Urban,21.57464444,-157.8779028,Fell/Jumped from Vehicle,Dark - Lighted,Not Reported,Toyota Tacoma,Concrete Traffic Barrier,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150018,1,1,HONOLULU,HONOLULU,March,12,12,Sunday,2023,0,Urban,21.3232,-157.86155,Guardrail Face,Dark - Lighted,Clear,Other Make 125-349cc,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150019,1,1,HAWAII,PAHOA,February,26,26,Sunday,2023,19,Rural,19.44630833,-154.8559472,Embankment,Dark - Not Lighted,Rain,Chevrolet Colorado,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150021,3,1,MAUI,Other,April,3,3,Monday,2023,19,Rural,20.80923056,-156.6055444,Pedestrian,Dark - Not Lighted,Clear,Hyundai Sonata,Motor Vehicle In-Transport,Station Wagon (excluding van and truck based)
Hawaii,150022,1,1,MAUI,KAHULUI,April,4,4,Tuesday,2023,23,Urban,20.88676389,-156.4652528,Pedestrian,Dark - Lighted,Clear,Honda 0- 50 cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150023,1,1,MAUI,KIHEI,April,5,5,Wednesday,2023,4,Urban,20.750525,-156.4525111,Pedestrian,Dark - Not Lighted,Clear,Honda 0- 50 cc,Rollover/Overturn,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150024,4,2,HONOLULU,MAKAHA,April,9,9,Sunday,2023,18,Urban,21.52032222,-158.2278111,Motor Vehicle In-Transport,Daylight,Clear,Dodge Medium/Heavy - CBE,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150025,1,1,HONOLULU,KANE`OHE,April,15,15,Saturday,2023,1,Urban,21.40295278,-157.8073056,Concrete Traffic Barrier,Dark - Lighted,Cloudy,Harley-Davidson 750cc or greater,Motor Vehicle In-Transport,Light Pickup
Hawaii,150026,1,1,HONOLULU,Other,April,15,15,Saturday,2023,2,Urban,21.32348333,-157.8621,Guardrail Face,Dark - Lighted,Clear,Suzuki 750cc-over,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150027,2,2,HONOLULU,WAIPAHU,April,15,15,Saturday,2023,16,Urban,21.426375,-157.9955889,Motor Vehicle In-Transport,Daylight,Clear,Nissan/Datsun Frontier,Motor Vehicle In-Transport,Light Pickup
Hawaii,150028,2,1,HAWAII,KAILUA KONA,April,4,4,Tuesday,2023,14,Urban,19.71978611,-156.0042417,Embankment,Daylight,Clear,Toyota Tacoma,Pedalcyclist,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")"
Hawaii,150029,1,1,HONOLULU,HONOLULU,April,25,25,Tuesday,2023,19,Urban,21.28259722,-157.7145528,Curb,Dark - Lighted,Clear,Ford Other (light truck),Tree (Standing Only),"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")"
Hawaii,150030,4,1,HONOLULU,HONOLULU,April,25,25,Tuesday,2023,21,Urban,21.34279444,-157.9355056,Pedalcyclist,Dark - Not Lighted,Clear,Not Reported Not Reported,Fell/Jumped from Vehicle,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150031,1,1,HONOLULU,HONOLULU,April,29,29,Saturday,2023,23,Urban,21.32707778,-157.8852639,Pedestrian,Dark - Lighted,Clear,Toyota Camry,Parked Motor Vehicle,Light Pickup
Hawaii,150032,2,1,HONOLULU,KAPOLEI,April,30,30,Sunday,2023,1,Urban,21.33499167,-158.0482194,Curb,Dark - Lighted,Clear,Yamaha 450-749cc,Bridge Pier or Support,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")"
Hawaii,150033,1,1,HONOLULU,WAIPAHU,April,30,30,Sunday,2023,8,Urban,21.37609722,-158.0273611,Fell/Jumped from Vehicle,Daylight,Clear,Mitsubishi Lancer/Lancer Sportback/ Lancer Evolution,Pedestrian,Light Pickup
Hawaii,150034,2,1,KAUAI,KAPA`A,March,26,26,Sunday,2023,21,Urban,22.07613056,-159.3181361,Pedestrian,Dark - Lighted,Rain,Yamaha 450-749cc,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150035,1,1,HAWAII,KEA`AU,April,20,20,Thursday,2023,18,Urban,19.55828056,-154.9905806,Pedestrian,Dusk,Clear,Harley-Davidson 750cc or greater,Rollover/Overturn,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150036,1,2,HONOLULU,WAHIAWA,May,4,4,Thursday,2023,5,Urban,21.48941389,-158.0352667,Motor Vehicle In-Transport,Dawn,Cloudy,Honda Pilot,Pedestrian,Light Pickup
Hawaii,150037,3,1,HONOLULU,Other,May,12,12,Friday,2023,20,Urban,21.28294167,-157.7151528,Pedalcyclist,Dark - Lighted,Clear,Ford F-Series pickup,Tree (Standing Only),Motor Scooter
Hawaii,150038,2,1,HONOLULU,KAHUKU,May,14,14,Sunday,2023,22,Urban,21.69329722,-158.0189583,"Post, Pole or Other Supports",Dark - Not Lighted,Clear,Honda 450-749 cc,Rollover/Overturn,Light Pickup
Hawaii,150039,1,1,HAWAII,KAILUA KONA,March,7,7,Tuesday,2023,22,Urban,19.69046667,-156.0227944,Traffic Signal Support,Dark - Unknown Lighting,Clear,Nissan/Datsun Titan,Pedalcyclist,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150040,1,1,HAWAII,VOLCANO,May,14,14,Sunday,2023,20,Rural,19.488225,-155.1513806,Pedestrian,Dark - Not Lighted,Rain,Cadillac CTS/CTC,Pedalcyclist,Light Pickup
Hawaii,150041,1,1,HONOLULU,`EWA BEACH,June,4,4,Sunday,2023,2,Urban,21.34099167,-158.0018611,Embankment,Dark - Not Lighted,Cloudy,Honda 450-749 cc,Embankment,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150042,1,1,MAUI,Other,June,6,6,Tuesday,2023,8,Urban,20.83583056,-156.6424417,Pedalcyclist,Daylight,Clear,Yamaha 750cc or greater,Parked Motor Vehicle,Light Pickup
Hawaii,150043,1,1,HONOLULU,`AIEA,June,15,15,Thursday,2023,23,Urban,21.38904444,-157.9427806,"Post, Pole or Other Supports",Dark - Lighted,Clear,Toyota Tacoma,Fire/Explosion,Light Pickup
Hawaii,150044,1,1,MAUI,Other,April,27,27,Thursday,2023,19,Urban,20.87672222,-156.6783278,Pedestrian,Dark - Lighted,Clear,Honda HR-V,Pedalcyclist,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150045,1,2,MAUI,PA`IA,May,29,29,Monday,2023,14,Urban,20.92853611,-156.3663861,Motor Vehicle In-Transport,Daylight,Clear,Ford Escape,Pedestrian,Light Pickup
Hawaii,150046,1,1,HAWAII,KAILUA KONA,June,18,18,Sunday,2023,11,Urban,19.72550833,-156.0337139,Rollover/Overturn,Daylight,Clear,Yamaha 450-749cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150047,1,1,MAUI,KAHULUI,July,27,27,Thursday,2023,11,Rural,20.85461389,-156.4211639,Pedalcyclist,Daylight,Clear,Ford F-Series pickup,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150048,6,2,MAUI,Other,August,2,2,Wednesday,2023,3,Urban,20.90445278,-156.6856583,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Kawasaki 350-449cc,Pedestrian,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)"
Hawaii,150049,2,1,HONOLULU,WAIMANALO,August,2,2,Wednesday,2023,13,Urban,21.32385556,-157.679,Pedalcyclist,Daylight,Clear,KIA Forte,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150050,2,4,HONOLULU,`AIEA,August,3,3,Thursday,2023,15,Urban,21.38873611,-157.9417444,Motor Vehicle In-Transport,Daylight,Clear,Toyota Tacoma,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150051,1,1,HONOLULU,`AIEA,August,7,7,Monday,2023,17,Urban,21.37767222,-157.9270833,Parked Motor Vehicle,Daylight,Clear,Nissan/Datsun Sentra,Motor Vehicle In-Transport,Light Pickup
Hawaii,150052,1,1,HONOLULU,KAPOLEI,July,11,11,Tuesday,2023,21,Urban,21.34088056,-158.0743056,Curb,Dark - Lighted,Clear,Toyota Tacoma,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150053,3,1,HONOLULU,NANAKULI,August,10,10,Thursday,2023,0,Urban,21.38420278,-158.1483444,Curb,Dark - Lighted,Clear,Chevrolet TrailBlazer ,Motor Vehicle In-Transport,Light Pickup
Hawaii,150054,1,1,HONOLULU,WAHIAWA,August,6,6,Sunday,2023,11,Urban,21.48874722,-158.0376611,Pedestrian,Daylight,Clear,Toyota Tundra,Embankment,"4-door sedan, hardtop"
Hawaii,150055,2,1,HONOLULU,HONOLULU,August,13,13,Sunday,2023,21,Urban,21.33313611,-157.8907417,Pedestrian,Dark - Not Lighted,Clear,Nissan/Datsun Frontier ,Motor Vehicle In-Transport,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)"
Hawaii,150056,1,1,HONOLULU,MAKAKILO CITY,August,15,15,Tuesday,2023,21,Urban,21.35110278,-158.0883639,Curb,Dark - Lighted,Clear,Nissan/Datsun Altima,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150057,2,2,HONOLULU,WAHIAWA,August,21,21,Monday,2023,17,Urban,21.521675,-158.0721833,Fell/Jumped from Vehicle,Daylight,Clear,Other Make 0-50cc,Motor Vehicle In-Transport,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)"
Hawaii,150058,2,1,HONOLULU,WAIPI`O ACRES,August,22,22,Tuesday,2023,20,Trafficway Not in State Inventory,21.42690556,-158.0012639,Other Object (not fixed),Dark - Lighted,Clear,Jeep / Kaiser-Jeep / Willys- Jeep Gladiator,Ditch,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150059,1,1,HAWAII,Other,August,13,13,Sunday,2023,20,Rural,19.11846111,-155.83415,Wall,Dark - Not Lighted,Cloudy,Ford Escape,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150060,1,3,HONOLULU,HONOLULU,September,7,7,Thursday,2023,16,Urban,21.29947222,-157.8531083,Motor Vehicle In-Transport,Daylight,Clear,KIA Soul,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150061,1,2,KAUAI,KILAUEA,August,12,12,Saturday,2023,19,Rural,22.202825,-159.3754667,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,"Honda Civic/CRX, del Sol",Motor Vehicle In-Transport,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)"
Hawaii,150062,1,1,HONOLULU,`EWA BEACH,September,13,13,Wednesday,2023,22,Urban,21.37624167,-158.0259139,Utility Pole/Light Support,Dark - Lighted,Clear,Mercedes-Benz GLK Class,Motor Vehicle In-Transport,Unknown body type
Hawaii,150063,1,1,HONOLULU,WAIPI`O ACRES,September,11,11,Monday,2023,2,Urban,21.39901667,-158.0098444,Curb,Dark - Lighted,Clear,Honda CR-V,Motor Vehicle In-Transport,Motor Scooter
